Table 1: Suppliers,,,,,,,Table 2: Inventory,,,,,,,Table 3: Production Orders,,,,,,,Table 4: Shipments,,,,,,,Table 5: Sales,,,,,,,Table 6: Customer Feedback,,,,
Supplier_ID,Supplier_Name,Lead_Time_Days,Quality_Rating,Location,Material_Type,,Product_ID,Product_Name,Quantity_Available,Reorder_Level,Warehouse_Location,Supplier_ID,,Order_ID,Product_ID,Quantity_Ordered,Order_Date,Completion_Date,Status,,Shipment_ID,Order_ID,Shipping_Date,Delivery_Date,Shipping_Cost,Delivery_Status,,Sale_ID,Product_ID,Sale_Date,Quantity_Sold,Revenue,Region,,Feedback_ID,Product_ID,Customer_Rating,Feedback_Date,Comments
SUP006,PharmaPlus,14,4.3,Chennai,Active Ingredients,,INV006,Cough Syrup,1300,500,Mumbai,SUP006,,PO006,INV006,700,2024-01-22,2024-02-01,Completed,,SH006,PO006,2024-02-02,2024-02-04,$95,Delivered,,SA006,INV006,2024-01-27,300,"$1,700",Mumbai,,FB006,INV006,4.3,2024-01-30,"Satisfied, decent packaging."
SUP007,PackWell,9,4.5,Kolkata,Packaging,,INV007,Pain Relief Spray,700,300,Kolkata,SUP007,,PO007,INV007,300,2024-01-25,2024-02-04,Completed,,SH007,PO007,2024-02-05,2024-02-07,$115,Delivered,,SA007,INV007,2024-01-29,150,"$1,200",Kolkata,,FB007,INV007,3.9,2024-02-01,Product is good but arrived late.
SUP008,ShipFast,7,4.8,Noida,Containers,,INV008,Antacid Tablets,1200,400,Noida,SUP008,,PO008,INV008,500,2024-01-28,2024-02-07,In Progress,,SH008,PO008,2024-02-08,2024-02-10,$105,In Transit,,SA008,INV008,2024-02-01,250,"$2,100",Noida,,FB008,INV008,4.6,2024-02-03,"Highly effective, great quality."
SUP009,ChemHealth,11,4.1,Lucknow,Active Ingredients,,INV009,Multivitamin Tablets,1400,500,Lucknow,SUP009,,PO009,INV009,600,2024-01-30,2024-02-09,Scheduled,,SH009,PO009,2024-02-11,2024-02-13,$125,Scheduled,,SA009,INV009,2024-02-03,200,"$1,600",Lucknow,,FB009,INV009,3.8,2024-02-05,"Quality is fine, delivery slow."
SUP010,RawMaterialsHub,19,4.4,Ahmedabad,Raw Materials,,INV010,Calcium Tablets,900,350,Ahmedabad,SUP010,,PO010,INV010,400,2024-02-02,2024-02-12,In Progress,,SH010,PO010,2024-02-14,2024-02-16,$100,In Transit,,SA010,INV010,2024-02-05,350,"$2,500",Ahmedabad,,FB010,INV010,4.9,2024-02-07,"Excellent, will buy again."
SUP011,QuickChem,13,4.6,Indore,Active Ingredients,,INV011,Cold Relief Syrup,600,250,Indore,SUP011,,PO011,INV011,200,2024-02-04,2024-02-14,Completed,,SH011,PO011,2024-02-17,2024-02-19,$120,Delivered,,SA011,INV011,2024-02-07,180,"$1,400",Indore,,FB011,INV011,4.4,2024-02-09,"Effective product, prompt service."
SUP012,PackMakers,10,4.7,Coimbatore,Packaging,,INV012,Zinc Tablets,1100,400,Coimbatore,SUP012,,PO012,INV012,300,2024-02-06,2024-02-16,In Progress,,SH012,PO012,2024-02-20,2024-02-22,$130,In Transit,,SA012,INV012,2024-02-09,220,"$1,800",Coimbatore,,FB012,INV012,4,2024-02-11,Good value for money.
SUP013,SpeedyShip,8,4.9,Surat,Containers,,INV013,Omega 3 Capsules,800,300,Surat,SUP013,,PO013,INV013,700,2024-02-08,2024-02-18,Completed,,SH013,PO013,2024-02-23,2024-02-25,$90,Delivered,,SA013,INV013,2024-02-11,270,"$2,300",Surat,,FB013,INV013,4.7,2024-02-13,"Very satisfied, timely delivery."
SUP014,ChemSource,15,4.2,Jaipur,Active Ingredients,,INV014,Iron Tablets,1500,600,Jaipur,SUP014,,PO014,INV014,600,2024-02-10,2024-02-20,Scheduled,,SH014,PO014,2024-02-26,2024-02-28,$110,Scheduled,,SA014,INV014,2024-02-13,310,"$2,800",Jaipur,,FB014,INV014,3.6,2024-02-15,"Decent quality, packaging issue."
SUP015,EssentialMed,18,4.5,Bhopal,Raw Materials,,INV015,B Complex Capsules,750,300,Bhopal,SUP015,,PO015,INV015,400,2024-02-12,2024-02-22,In Progress,,SH015,PO015,2024-02-29,2024-03-02,$100,In Transit,,SA015,INV015,2024-02-15,150,"$1,200",Bhopal,,FB015,INV015,4.2,2024-02-17,Satisfied with product.
SUP016,ProChem,12,4.6,Vadodara,Active Ingredients,,INV016,Diabetic Tablets,1400,500,Vadodara,SUP016,,PO016,INV016,500,2024-02-14,2024-02-24,Completed,,SH016,PO016,2024-03-03,2024-03-05,$115,Delivered,,SA016,INV016,2024-02-17,230,"$2,100",Vadodara,,FB016,INV016,4.8,2024-02-19,"Excellent results, fast delivery."
SUP017,PackIt,9,4.4,Ludhiana,Packaging,,INV017,Liver Tonic,650,250,Ludhiana,SUP017,,PO017,INV017,200,2024-02-16,2024-02-26,In Progress,,SH017,PO017,2024-03-06,2024-03-08,$125,In Transit,,SA017,INV017,2024-02-19,170,"$1,500",Ludhiana,,FB017,INV017,3.9,2024-02-21,"Product was okay, delayed delivery."
SUP018,QuickShip,8,4.8,Patna,Containers,,INV018,Vitamin D Syrup,1000,400,Patna,SUP018,,PO018,INV018,300,2024-02-18,2024-02-28,Completed,,SH018,PO018,2024-03-09,2024-03-11,$95,Delivered,,SA018,INV018,2024-02-21,280,"$2,400",Patna,,FB018,INV018,4.6,2024-02-23,Great quality and timely delivery.
SUP019,ChemReliable,10,4.3,Agra,Active Ingredients,,INV019,Anti-Fungal Cream,800,300,Agra,SUP019,,PO019,INV019,700,2024-02-20,2024-03-02,Scheduled,,SH019,PO019,2024-03-12,2024-03-14,$110,Scheduled,,SA019,INV019,2024-02-23,210,"$1,900",Agra,,FB019,INV019,4.1,2024-02-25,Good but took time to deliver.
SUP020,FastPack,7,4.6,Mysore,Packaging,,INV020,Energy Boost Tablets,1200,450,Mysore,SUP020,,PO020,INV020,600,2024-02-22,2024-03-04,In Progress,,SH020,PO020,2024-03-15,2024-03-17,$100,In Transit,,SA020,INV020,2024-02-25,330,"$2,700",Mysore,,FB020,INV020,4.9,2024-02-27,"Highly effective, great service."
SUP021,HealthChemicals,16,4.5,Amritsar,Raw Materials,,INV021,Herbal Digestive Capsules,600,250,Amritsar,SUP021,,PO021,INV021,400,2024-02-24,2024-03-06,Completed,,SH021,PO021,2024-03-18,2024-03-20,$120,Delivered,,SA021,INV021,2024-02-27,190,"$1,600",Amritsar,,FB021,INV021,4.5,2024-03-01,Product met expectations.
SUP022,SpeedLogistics,8,4.7,Ranchi,Containers,,INV022,Antiseptic Cream,1000,400,Ranchi,SUP022,,PO022,INV022,500,2024-02-26,2024-03-08,Scheduled,,SH022,PO022,2024-03-21,2024-03-23,$130,In Transit,,SA022,INV022,2024-03-01,290,"$2,500",Ranchi,,FB022,INV022,4.2,2024-03-03,"Satisfied, packaging could improve."
SUP023,EssentialChem,11,4.1,Nashik,Active Ingredients,,INV023,Cough Tablets,1100,500,Nashik,SUP023,,PO023,INV023,300,2024-02-28,2024-03-10,In Progress,,SH023,PO023,2024-03-24,2024-03-26,$90,Delivered,,SA023,INV023,2024-03-03,160,"$1,300",Nashik,,FB023,INV023,4.8,2024-03-05,"Amazing quality, quick delivery."
SUP024,PackPro,9,4.4,Varanasi,Packaging,,INV024,Skin Allergy Cream,900,300,Varanasi,SUP024,,PO024,INV024,700,2024-03-02,2024-03-12,Completed,,SH024,PO024,2024-03-27,2024-03-29,$115,Scheduled,,SA024,INV024,2024-03-05,240,"$2,000",Varanasi,,FB024,INV024,3.7,2024-03-07,"Quality was okay, delivery late."
SUP025,ChemConnect,14,4.3,Bhubaneswar,Active Ingredients,,INV025,Muscle Pain Balm,1200,400,Bhubaneswar,SUP025,,PO025,INV025,200,2024-03-04,2024-03-14,In Progress,,SH025,PO025,2024-03-30,2024-04-01,$105,In Transit,,SA025,INV025,2024-03-07,300,"$2,200",Bhubaneswar,,FB025,INV025,4.4,2024-03-09,"Good product, timely arrival."
SUP026,QualityPack,12,4.5,Kochi,Packaging,,INV026,Herbal Hair Oil,1500,600,Kochi,SUP026,,PO026,INV026,600,2024-03-06,2024-03-16,Scheduled,,SH026,PO026,2024-04-02,2024-04-04,$120,Delivered,,SA026,INV026,2024-03-09,250,"$1,800",Kochi,,FB026,INV026,4.6,2024-03-11,Excellent quality and packaging.
SUP027,MedLogistics,7,4.9,Jodhpur,Containers,,INV027,Aloe Vera Gel,800,350,Jodhpur,SUP027,,PO027,INV027,400,2024-03-08,2024-03-18,Completed,,SH027,PO027,2024-04-05,2024-04-07,$95,In Transit,,SA027,INV027,2024-03-11,270,"$2,400",Jodhpur,,FB027,INV027,3.8,2024-03-13,"Product is fine, delayed delivery."
SUP028,ChemCure,13,4.2,Vijayawada,Active Ingredients,,INV028,Anti-Dandruff Shampoo,1300,500,Vijayawada,SUP028,,PO028,INV028,500,2024-03-10,2024-03-20,In Progress,,SH028,PO028,2024-04-08,2024-04-10,$110,Scheduled,,SA028,INV028,2024-03-13,340,"$3,000",Vijayawada,,FB028,INV028,4.7,2024-03-15,"Very effective, recommended."
SUP029,RapidMaterials,10,4.5,Gwalior,Raw Materials,,INV029,Vitamin B12 Tablets,700,250,Gwalior,SUP029,,PO029,INV029,300,2024-03-12,2024-03-22,Scheduled,,SH029,PO029,2024-04-11,2024-04-13,$100,Delivered,,SA029,INV029,2024-03-15,210,"$1,700",Gwalior,,FB029,INV029,4,2024-03-17,"Decent product, slow delivery."
SUP030,PackExcellence,8,4.7,Raipur,Packaging,,INV030,Eye Drops,1200,400,Raipur,SUP030,,PO030,INV030,700,2024-03-14,2024-03-24,Completed,,SH030,PO030,2024-04-14,2024-04-16,$125,In Transit,,SA030,INV030,2024-03-17,290,"$2,600",Raipur,,FB030,INV030,4.9,2024-03-19,Exceeded expectations.
SUP031,ChemSupply,15,4.4,Guwahati,Active Ingredients,,INV031,Ear Drops,900,300,Guwahati,SUP031,,PO031,INV031,600,2024-03-16,2024-03-26,In Progress,,SH031,PO031,2024-04-17,2024-04-19,$95,Delivered,,SA031,INV031,2024-03-19,190,"$1,500",Guwahati,,FB031,INV031,4.3,2024-03-21,"Good value, arrived on time."
SUP032,PackSolutions,10,4.3,Kota,Packaging,,INV032,Glucose Powder,1000,400,Kota,SUP032,,PO032,INV032,200,2024-03-18,2024-03-28,Scheduled,,SH032,PO032,2024-04-20,2024-04-22,$110,Scheduled,,SA032,INV032,2024-03-21,300,"$2,500",Kota,,FB032,INV032,4.5,2024-03-23,"Effective, great delivery service."
SUP033,ShipPro,9,4.8,Howrah,Containers,,INV033,Baby Lotion,800,300,Howrah,SUP033,,PO033,INV033,400,2024-03-20,2024-03-30,Completed,,SH033,PO033,2024-04-23,2024-04-25,$120,In Transit,,SA033,INV033,2024-03-23,230,"$1,800",Howrah,,FB033,INV033,3.9,2024-03-25,"Quality okay, could be better."
SUP034,ActiveChem,11,4.2,Meerut,Active Ingredients,,INV034,Herbal Tea,1300,500,Meerut,SUP034,,PO034,INV034,500,2024-03-22,2024-04-01,In Progress,,SH034,PO034,2024-04-26,2024-04-28,$130,Delivered,,SA034,INV034,2024-03-25,280,"$2,200",Meerut,,FB034,INV034,4.8,2024-03-27,"Highly recommend, excellent product."
SUP035,PharmaBase,13,4.5,Jabalpur,Raw Materials,,INV035,Omega 3 Fish Oil,750,300,Jabalpur,SUP035,,PO035,INV035,300,2024-03-24,2024-04-03,Scheduled,,SH035,PO035,2024-04-29,2024-05-01,$90,Scheduled,,SA035,INV035,2024-03-27,320,"$2,700",Jabalpur,,FB035,INV035,4.1,2024-03-29,"Good product, slight delay."
SUP036,ChemBest,14,4.3,Hubli,Active Ingredients,,INV036,Vitamin E Cream,1100,450,Hubli,SUP036,,PO036,INV036,700,2024-03-26,2024-04-05,Completed,,SH036,PO036,2024-05-02,2024-05-04,$100,In Transit,,SA036,INV036,2024-03-29,160,"$1,200",Hubli,,FB036,INV036,4.7,2024-03-31,"Quality as expected, fast delivery."
SUP037,FastPackers,7,4.6,Tiruchirappalli,Packaging,,INV037,Joint Pain Tablets,850,300,Tiruchirappalli,SUP037,,PO037,INV037,600,2024-03-28,2024-04-07,In Progress,,SH037,PO037,2024-05-05,2024-05-07,$115,Delivered,,SA037,INV037,2024-03-31,270,"$2,300",Tiruchirappalli,,FB037,INV037,3.6,2024-04-02,"Average quality, delayed shipping."
SUP038,EssentialLog,8,4.9,Udaipur,Containers,,INV038,Herbal Cough Syrup,1200,400,Udaipur,SUP038,,PO038,INV038,200,2024-03-30,2024-04-09,Scheduled,,SH038,PO038,2024-05-08,2024-05-10,$125,In Transit,,SA038,INV038,2024-04-02,220,"$1,900",Udaipur,,FB038,INV038,4.4,2024-04-04,"Satisfied, quick delivery."
SUP039,PrimeChem,12,4.1,Aurangabad,Active Ingredients,,INV039,Blood Pressure Tablets,900,350,Aurangabad,SUP039,,PO039,INV039,400,2024-04-02,2024-04-11,Completed,,SH039,PO039,2024-05-11,2024-05-13,$95,Delivered,,SA039,INV039,2024-04-04,310,"$2,800",Aurangabad,,FB039,INV039,4,2024-04-06,"Decent product, slow shipping."
SUP040,PackPros,10,4.3,Salem,Packaging,,INV040,Vitamin B Complex Syrup,700,250,Salem,SUP040,,PO040,INV040,500,2024-04-04,2024-04-13,In Progress,,SH040,PO040,2024-05-14,2024-05-16,$110,Scheduled,,SA040,INV040,2024-04-06,170,"$1,500",Salem,,FB040,INV040,4.9,2024-04-08,"Excellent, best quality."
SUP041,ShipLogistics,9,4.7,Gorakhpur,Containers,,INV041,Skin Moisturizer,1100,450,Gorakhpur,SUP041,,PO041,INV041,300,2024-04-06,2024-04-15,Scheduled,,SH041,PO041,2024-05-17,2024-05-19,$100,In Transit,,SA041,INV041,2024-04-08,290,"$2,600",Gorakhpur,,FB041,INV041,4.3,2024-04-10,"Good quality, fast service."
SUP042,ChemWarehouse,16,4.2,Mangalore,Raw Materials,,INV042,Asthma Inhaler,1000,400,Mangalore,SUP042,,PO042,INV042,700,2024-04-08,2024-04-17,Completed,,SH042,PO042,2024-05-20,2024-05-22,$120,Delivered,,SA042,INV042,2024-04-10,200,"$1,700",Mangalore,,FB042,INV042,4.1,2024-04-12,Met expectations.
SUP043,PharmaDirect,13,4.4,Siliguri,Active Ingredients,,INV043,Antibacterial Soap,800,300,Siliguri,SUP043,,PO043,INV043,600,2024-04-10,2024-04-19,In Progress,,SH043,PO043,2024-05-23,2024-05-25,$130,In Transit,,SA043,INV043,2024-04-12,320,"$2,700",Siliguri,,FB043,INV043,4.8,2024-04-14,Outstanding product.
SUP044,PackMasters,10,4.3,Warangal,Packaging,,INV044,Blood Sugar Tablets,900,350,Warangal,SUP044,,PO044,INV044,200,2024-04-12,2024-04-21,Scheduled,,SH044,PO044,2024-05-26,2024-05-28,$90,Delivered,,SA044,INV044,2024-04-14,240,"$2,100",Warangal,,FB044,INV044,3.7,2024-04-16,"Product was okay, late arrival."
SUP045,RapidShip,7,4.8,Guntur,Containers,,INV045,Vitamin A Drops,1200,500,Guntur,SUP045,,PO045,INV045,400,2024-04-14,2024-04-23,Completed,,SH045,PO045,2024-05-29,2024-05-31,$115,Scheduled,,SA045,INV045,2024-04-16,300,"$2,500",Guntur,,FB045,INV045,4.5,2024-04-18,"Quality product, quick service."
SUP046,ChemElite,14,4.5,Bareilly,Active Ingredients,,INV046,Herbal Shampoo,1300,450,Bareilly,SUP046,,PO046,INV046,500,2024-04-16,2024-04-25,In Progress,,SH046,PO046,2024-06-01,2024-06-03,$105,In Transit,,SA046,INV046,2024-04-18,270,"$2,300",Bareilly,,FB046,INV046,4.2,2024-04-20,Satisfied with purchase.
SUP047,EssentialLogi,10,4.7,Aligarh,Raw Materials,,INV047,Cold Balm,800,300,Aligarh,SUP047,,PO047,INV047,300,2024-04-18,2024-04-27,Scheduled,,SH047,PO047,2024-06-04,2024-06-06,$120,Delivered,,SA047,INV047,2024-04-20,180,"$1,400",Aligarh,,FB047,INV047,3.9,2024-04-22,"Product quality fine, late arrival."
SUP048,QuickContainer,9,4.9,Moradabad,Containers,,INV048,Kids Multivitamin Gummies,900,350,Moradabad,SUP048,,PO048,INV048,700,2024-04-20,2024-04-29,Completed,,SH048,PO048,2024-06-07,2024-06-09,$95,In Transit,,SA048,INV048,2024-04-22,210,"$1,800",Moradabad,,FB048,INV048,4.6,2024-04-24,Effective and well-packaged.
SUP049,HealthEssentials,11,4.1,Thiruvananthapuram,Active Ingredients,,INV049,Calcium Syrup,1100,450,Thiruvananthapuram,SUP049,,PO049,INV049,600,2024-04-22,2024-05-01,In Progress,,SH049,PO049,2024-06-10,2024-06-12,$110,Scheduled,,SA049,INV049,2024-04-24,290,"$2,500",Thiruvananthapuram,,FB049,INV049,4.5,2024-04-26,Exceeded expectations.
SUP050,QualitySupply,12,4.5,Jalandhar,Packaging,,INV050,Protein Powder,1000,400,Jalandhar,SUP050,,PO050,INV050,200,2024-04-24,2024-05-03,Scheduled,,SH050,PO050,2024-06-13,2024-06-15,$100,Delivered,,SA050,INV050,2024-04-26,250,"$2,200",Jalandhar,,FB050,INV050,4,2024-04-28,"Satisfied, delivery could improve."
,,,,,,,,,,,,,,,,,,,,,SH051,PO051,2024-06-16,2024-06-18,$125,In Transit,,,,,,,,,,,,,