Supplier_ID,Supplier_Name,Lead_Time_Days,Quality_Rating,Location,Material_Type,Product_ID,Product_Name,Quantity_Available,Reorder_Level,Warehouse_Location,Order_ID,Quantity_Ordered,Order_Date,Completion_Date,Status,Shipment_ID,Shipping_Date,Delivery_Date,Shipping_Cost,Delivery_Status,Sale_ID,Sale_Date,Quantity_Sold,Revenue,Region,Feedback_ID,Customer_Rating,Feedback_Date,Comments
SUP006,PharmaPlus,14,4.3,Chennai,Active Ingredients,INV006,Cough Syrup,1300,500,Mumbai,PO006,700,2024-01-22,2024-02-01,Completed,SH006,2024-02-02,2024-02-04,$95,Delivered,SA006,2024-01-27,300,"$1,700",Mumbai,FB006,4.3,2024-01-30,"Satisfied, decent packaging."
SUP007,PackWell,9,4.5,Kolkata,Packaging,INV007,Pain Relief Spray,700,300,Kolkata,PO007,300,2024-01-25,2024-02-04,Completed,SH007,2024-02-05,2024-02-07,$115,Delivered,SA007,2024-01-29,150,"$1,200",Kolkata,FB007,3.9,2024-02-01,Product is good but arrived late.
SUP008,ShipFast,7,4.8,Noida,Containers,INV008,Antacid Tablets,1200,400,Noida,PO008,500,2024-01-28,2024-02-07,In Progress,SH008,2024-02-08,2024-02-10,$105,In Transit,SA008,2024-02-01,250,"$2,100",Noida,FB008,4.6,2024-02-03,"Highly effective, great quality."
SUP009,ChemHealth,11,4.1,Lucknow,Active Ingredients,INV009,Multivitamin Tablets,1400,500,Lucknow,PO009,600,2024-01-30,2024-02-09,Scheduled,SH009,2024-02-11,2024-02-13,$125,Scheduled,SA009,2024-02-03,200,"$1,600",Lucknow,FB009,3.8,2024-02-05,"Quality is fine, delivery slow."
SUP010,RawMaterialsHub,19,4.4,Ahmedabad,Raw Materials,INV010,Calcium Tablets,900,350,Ahmedabad,PO010,400,2024-02-02,2024-02-12,In Progress,SH010,2024-02-14,2024-02-16,$100,In Transit,SA010,2024-02-05,350,"$2,500",Ahmedabad,FB010,4.9,2024-02-07,"Excellent, will buy again."
SUP011,QuickChem,13,4.6,Indore,Active Ingredients,INV011,Cold Relief Syrup,600,250,Indore,PO011,200,2024-02-04,2024-02-14,Completed,SH011,2024-02-17,2024-02-19,$120,Delivered,SA011,2024-02-07,180,"$1,400",Indore,FB011,4.4,2024-02-09,"Effective product, prompt service."
SUP012,PackMakers,10,4.7,Coimbatore,Packaging,INV012,Zinc Tablets,1100,400,Coimbatore,PO012,300,2024-02-06,2024-02-16,In Progress,SH012,2024-02-20,2024-02-22,$130,In Transit,SA012,2024-02-09,220,"$1,800",Coimbatore,FB012,4,2024-02-11,Good value for money.
SUP013,SpeedyShip,8,4.9,Surat,Containers,INV013,Omega 3 Capsules,800,300,Surat,PO013,700,2024-02-08,2024-02-18,Completed,SH013,2024-02-23,2024-02-25,$90,Delivered,SA013,2024-02-11,270,"$2,300",Surat,FB013,4.7,2024-02-13,"Very satisfied, timely delivery."
SUP014,ChemSource,15,4.2,Jaipur,Active Ingredients,INV014,Iron Tablets,1500,600,Jaipur,PO014,600,2024-02-10,2024-02-20,Scheduled,SH014,2024-02-26,2024-02-28,$110,Scheduled,SA014,2024-02-13,310,"$2,800",Jaipur,FB014,3.6,2024-02-15,"Decent quality, packaging issue."
SUP015,EssentialMed,18,4.5,Bhopal,Raw Materials,INV015,B Complex Capsules,750,300,Bhopal,PO015,400,2024-02-12,2024-02-22,In Progress,SH015,2024-02-29,2024-03-02,$100,In Transit,SA015,2024-02-15,150,"$1,200",Bhopal,FB015,4.2,2024-02-17,Satisfied with product.
SUP016,ProChem,12,4.6,Vadodara,Active Ingredients,INV016,Diabetic Tablets,1400,500,Vadodara,PO016,500,2024-02-14,2024-02-24,Completed,SH016,2024-03-03,2024-03-05,$115,Delivered,SA016,2024-02-17,230,"$2,100",Vadodara,FB016,4.8,2024-02-19,"Excellent results, fast delivery."
SUP017,PackIt,9,4.4,Ludhiana,Packaging,INV017,Liver Tonic,650,250,Ludhiana,PO017,200,2024-02-16,2024-02-26,In Progress,SH017,2024-03-06,2024-03-08,$125,In Transit,SA017,2024-02-19,170,"$1,500",Ludhiana,FB017,3.9,2024-02-21,"Product was okay, delayed delivery."
SUP018,QuickShip,8,4.8,Patna,Containers,INV018,Vitamin D Syrup,1000,400,Patna,PO018,300,2024-02-18,2024-02-28,Completed,SH018,2024-03-09,2024-03-11,$95,Delivered,SA018,2024-02-21,280,"$2,400",Patna,FB018,4.6,2024-02-23,Great quality and timely delivery.
SUP019,ChemReliable,10,4.3,Agra,Active Ingredients,INV019,Anti-Fungal Cream,800,300,Agra,PO019,700,2024-02-20,2024-03-02,Scheduled,SH019,2024-03-12,2024-03-14,$110,Scheduled,SA019,2024-02-23,210,"$1,900",Agra,FB019,4.1,2024-02-25,Good but took time to deliver.
SUP020,FastPack,7,4.6,Mysore,Packaging,INV020,Energy Boost Tablets,1200,450,Mysore,PO020,600,2024-02-22,2024-03-04,In Progress,SH020,2024-03-15,2024-03-17,$100,In Transit,SA020,2024-02-25,330,"$2,700",Mysore,FB020,4.9,2024-02-27,"Highly effective, great service."
SUP021,HealthChemicals,16,4.5,Amritsar,Raw Materials,INV021,Herbal Digestive Capsules,600,250,Amritsar,PO021,400,2024-02-24,2024-03-06,Completed,SH021,2024-03-18,2024-03-20,$120,Delivered,SA021,2024-02-27,190,"$1,600",Amritsar,FB021,4.5,2024-03-01,Product met expectations.
SUP022,SpeedLogistics,8,4.7,Ranchi,Containers,INV022,Antiseptic Cream,1000,400,Ranchi,PO022,500,2024-02-26,2024-03-08,Scheduled,SH022,2024-03-21,2024-03-23,$130,In Transit,SA022,2024-03-01,290,"$2,500",Ranchi,FB022,4.2,2024-03-03,"Satisfied, packaging could improve."
SUP023,EssentialChem,11,4.1,Nashik,Active Ingredients,INV023,Cough Tablets,1100,500,Nashik,PO023,300,2024-02-28,2024-03-10,In Progress,SH023,2024-03-24,2024-03-26,$90,Delivered,SA023,2024-03-03,160,"$1,300",Nashik,FB023,4.8,2024-03-05,"Amazing quality, quick delivery."
SUP024,PackPro,9,4.4,Varanasi,Packaging,INV024,Skin Allergy Cream,900,300,Varanasi,PO024,700,2024-03-02,2024-03-12,Completed,SH024,2024-03-27,2024-03-29,$115,Scheduled,SA024,2024-03-05,240,"$2,000",Varanasi,FB024,3.7,2024-03-07,"Quality was okay, delivery late."
SUP025,ChemConnect,14,4.3,Bhubaneswar,Active Ingredients,INV025,Muscle Pain Balm,1200,400,Bhubaneswar,PO025,200,2024-03-04,2024-03-14,In Progress,SH025,2024-03-30,2024-04-01,$105,In Transit,SA025,2024-03-07,300,"$2,200",Bhubaneswar,FB025,4.4,2024-03-09,"Good product, timely arrival."
SUP026,QualityPack,12,4.5,Kochi,Packaging,INV026,Herbal Hair Oil,1500,600,Kochi,PO026,600,2024-03-06,2024-03-16,Scheduled,SH026,2024-04-02,2024-04-04,$120,Delivered,SA026,2024-03-09,250,"$1,800",Kochi,FB026,4.6,2024-03-11,Excellent quality and packaging.
SUP027,MedLogistics,7,4.9,Jodhpur,Containers,INV027,Aloe Vera Gel,800,350,Jodhpur,PO027,400,2024-03-08,2024-03-18,Completed,SH027,2024-04-05,2024-04-07,$95,In Transit,SA027,2024-03-11,270,"$2,400",Jodhpur,FB027,3.8,2024-03-13,"Product is fine, delayed delivery."
SUP028,ChemCure,13,4.2,Vijayawada,Active Ingredients,INV028,Anti-Dandruff Shampoo,1300,500,Vijayawada,PO028,500,2024-03-10,2024-03-20,In Progress,SH028,2024-04-08,2024-04-10,$110,Scheduled,SA028,2024-03-13,340,"$3,000",Vijayawada,FB028,4.7,2024-03-15,"Very effective, recommended."
SUP029,RapidMaterials,10,4.5,Gwalior,Raw Materials,INV029,Vitamin B12 Tablets,700,250,Gwalior,PO029,300,2024-03-12,2024-03-22,Scheduled,SH029,2024-04-11,2024-04-13,$100,Delivered,SA029,2024-03-15,210,"$1,700",Gwalior,FB029,4,2024-03-17,"Decent product, slow delivery."
SUP030,PackExcellence,8,4.7,Raipur,Packaging,INV030,Eye Drops,1200,400,Raipur,PO030,700,2024-03-14,2024-03-24,Completed,SH030,2024-04-14,2024-04-16,$125,In Transit,SA030,2024-03-17,290,"$2,600",Raipur,FB030,4.9,2024-03-19,Exceeded expectations.
SUP031,ChemSupply,15,4.4,Guwahati,Active Ingredients,INV031,Ear Drops,900,300,Guwahati,PO031,600,2024-03-16,2024-03-26,In Progress,SH031,2024-04-17,2024-04-19,$95,Delivered,SA031,2024-03-19,190,"$1,500",Guwahati,FB031,4.3,2024-03-21,"Good value, arrived on time."
SUP032,PackSolutions,10,4.3,Kota,Packaging,INV032,Glucose Powder,1000,400,Kota,PO032,200,2024-03-18,2024-03-28,Scheduled,SH032,2024-04-20,2024-04-22,$110,Scheduled,SA032,2024-03-21,300,"$2,500",Kota,FB032,4.5,2024-03-23,"Effective, great delivery service."
SUP033,ShipPro,9,4.8,Howrah,Containers,INV033,Baby Lotion,800,300,Howrah,PO033,400,2024-03-20,2024-03-30,Completed,SH033,2024-04-23,2024-04-25,$120,In Transit,SA033,2024-03-23,230,"$1,800",Howrah,FB033,3.9,2024-03-25,"Quality okay, could be better."
SUP034,ActiveChem,11,4.2,Meerut,Active Ingredients,INV034,Herbal Tea,1300,500,Meerut,PO034,500,2024-03-22,2024-04-01,In Progress,SH034,2024-04-26,2024-04-28,$130,Delivered,SA034,2024-03-25,280,"$2,200",Meerut,FB034,4.8,2024-03-27,"Highly recommend, excellent product."
SUP035,PharmaBase,13,4.5,Jabalpur,Raw Materials,INV035,Omega 3 Fish Oil,750,300,Jabalpur,PO035,300,2024-03-24,2024-04-03,Scheduled,SH035,2024-04-29,2024-05-01,$90,Scheduled,SA035,2024-03-27,320,"$2,700",Jabalpur,FB035,4.1,2024-03-29,"Good product, slight delay."
SUP036,ChemBest,14,4.3,Hubli,Active Ingredients,INV036,Vitamin E Cream,1100,450,Hubli,PO036,700,2024-03-26,2024-04-05,Completed,SH036,2024-05-02,2024-05-04,$100,In Transit,SA036,2024-03-29,160,"$1,200",Hubli,FB036,4.7,2024-03-31,"Quality as expected, fast delivery."
SUP037,FastPackers,7,4.6,Tiruchirappalli,Packaging,INV037,Joint Pain Tablets,850,300,Tiruchirappalli,PO037,600,2024-03-28,2024-04-07,In Progress,SH037,2024-05-05,2024-05-07,$115,Delivered,SA037,2024-03-31,270,"$2,300",Tiruchirappalli,FB037,3.6,2024-04-02,"Average quality, delayed shipping."
SUP038,EssentialLog,8,4.9,Udaipur,Containers,INV038,Herbal Cough Syrup,1200,400,Udaipur,PO038,200,2024-03-30,2024-04-09,Scheduled,SH038,2024-05-08,2024-05-10,$125,In Transit,SA038,2024-04-02,220,"$1,900",Udaipur,FB038,4.4,2024-04-04,"Satisfied, quick delivery."
SUP039,PrimeChem,12,4.1,Aurangabad,Active Ingredients,INV039,Blood Pressure Tablets,900,350,Aurangabad,PO039,400,2024-04-02,2024-04-11,Completed,SH039,2024-05-11,2024-05-13,$95,Delivered,SA039,2024-04-04,310,"$2,800",Aurangabad,FB039,4,2024-04-06,"Decent product, slow shipping."
SUP040,PackPros,10,4.3,Salem,Packaging,INV040,Vitamin B Complex Syrup,700,250,Salem,PO040,500,2024-04-04,2024-04-13,In Progress,SH040,2024-05-14,2024-05-16,$110,Scheduled,SA040,2024-04-06,170,"$1,500",Salem,FB040,4.9,2024-04-08,"Excellent, best quality."
SUP041,ShipLogistics,9,4.7,Gorakhpur,Containers,INV041,Skin Moisturizer,1100,450,Gorakhpur,PO041,300,2024-04-06,2024-04-15,Scheduled,SH041,2024-05-17,2024-05-19,$100,In Transit,SA041,2024-04-08,290,"$2,600",Gorakhpur,FB041,4.3,2024-04-10,"Good quality, fast service."
SUP042,ChemWarehouse,16,4.2,Mangalore,Raw Materials,INV042,Asthma Inhaler,1000,400,Mangalore,PO042,700,2024-04-08,2024-04-17,Completed,SH042,2024-05-20,2024-05-22,$120,Delivered,SA042,2024-04-10,200,"$1,700",Mangalore,FB042,4.1,2024-04-12,Met expectations.
SUP043,PharmaDirect,13,4.4,Siliguri,Active Ingredients,INV043,Antibacterial Soap,800,300,Siliguri,PO043,600,2024-04-10,2024-04-19,In Progress,SH043,2024-05-23,2024-05-25,$130,In Transit,SA043,2024-04-12,320,"$2,700",Siliguri,FB043,4.8,2024-04-14,Outstanding product.
SUP044,PackMasters,10,4.3,Warangal,Packaging,INV044,Blood Sugar Tablets,900,350,Warangal,PO044,200,2024-04-12,2024-04-21,Scheduled,SH044,2024-05-26,2024-05-28,$90,Delivered,SA044,2024-04-14,240,"$2,100",Warangal,FB044,3.7,2024-04-16,"Product was okay, late arrival."
SUP045,RapidShip,7,4.8,Guntur,Containers,INV045,Vitamin A Drops,1200,500,Guntur,PO045,400,2024-04-14,2024-04-23,Completed,SH045,2024-05-29,2024-05-31,$115,Scheduled,SA045,2024-04-16,300,"$2,500",Guntur,FB045,4.5,2024-04-18,"Quality product, quick service."
SUP046,ChemElite,14,4.5,Bareilly,Active Ingredients,INV046,Herbal Shampoo,1300,450,Bareilly,PO046,500,2024-04-16,2024-04-25,In Progress,SH046,2024-06-01,2024-06-03,$105,In Transit,SA046,2024-04-18,270,"$2,300",Bareilly,FB046,4.2,2024-04-20,Satisfied with purchase.
SUP047,EssentialLogi,10,4.7,Aligarh,Raw Materials,INV047,Cold Balm,800,300,Aligarh,PO047,300,2024-04-18,2024-04-27,Scheduled,SH047,2024-06-04,2024-06-06,$120,Delivered,SA047,2024-04-20,180,"$1,400",Aligarh,FB047,3.9,2024-04-22,"Product quality fine, late arrival."
SUP048,QuickContainer,9,4.9,Moradabad,Containers,INV048,Kids Multivitamin Gummies,900,350,Moradabad,PO048,700,2024-04-20,2024-04-29,Completed,SH048,2024-06-07,2024-06-09,$95,In Transit,SA048,2024-04-22,210,"$1,800",Moradabad,FB048,4.6,2024-04-24,Effective and well-packaged.
SUP049,HealthEssentials,11,4.1,Thiruvananthapuram,Active Ingredients,INV049,Calcium Syrup,1100,450,Thiruvananthapuram,PO049,600,2024-04-22,2024-05-01,In Progress,SH049,2024-06-10,2024-06-12,$110,Scheduled,SA049,2024-04-24,290,"$2,500",Thiruvananthapuram,FB049,4.5,2024-04-26,Exceeded expectations.
SUP050,QualitySupply,12,4.5,Jalandhar,Packaging,INV050,Protein Powder,1000,400,Jalandhar,PO050,200,2024-04-24,2024-05-03,Scheduled,SH050,2024-06-13,2024-06-15,$100,Delivered,SA050,2024-04-26,250,"$2,200",Jalandhar,FB050,4,2024-04-28,"Satisfied, delivery could improve."
